INDMusic Channel Report
June 2014
MILKMAN

Partner Views are: 0
Non-Ad Requested Views: 0
Partner Revenue is: 0
Partner Ad Enabled Views are: 0
Partner Thousands of Ad Enabled Views: undefined
CPM: N/A
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 0
Total Partner Earnings: 0

UGC Views are: 26058
UGC Revenue is: 29.520642000000006
UGC Ad Enabled Views are: 21751
UGC Thousands of Ad Enabled Views: 21.751
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 2.9520642000000006
Total UGC Earnings: 26.568577800000007

Total Channel Partner Payout: 26.568577800000007

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"Fgr6oqZfWMo","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0
"Fn0QR18vGJ0","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,128,0,0
"GhaGVMCCT-I","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"HkcQZY3TQcI","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"Hr4eNytYj0A","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"I3nneeuoIb4","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,4,0,0
"IqjkEPW41uM","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"It7DUcO-vRc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"J0HzdcHCUD4","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,9,0,0
"JUGafW7uPlk","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0.002111
"K132siKRkT8","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"L0QIr-nOX7A","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,13,13,0.000239
"L1KrWyn0b-s","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0
"L7pZFG4hvFk","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"L7pZFG4hvFk","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,0,0
"LPQB9n0zFxQ","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,22,22,0
"LPQB9n0zFxQ","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,0,0
"Ld7RdeyfCjg","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,0,0
"MAaFdkSMv-A","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0.002447
"MPUlqYV7ZX4","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,3,3,0.000268
"Mafk9jfLp2k","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,0,0
"MyKAt7JrNa4","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,7,7,0
"NbaZ1QyeQcM","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,0,0
"P5oNqHacm0c","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,25,25,0.000555
"PXXtjM2hnyg","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0.00024
"Q3cIroi7KDE","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,0,0
"QPTIHyOkNEo","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0.002079
"S1DNkjWgwQY","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,1,1,0
"SMKmWZR86WE","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,2,2,0.00023
"SMYhNfVbixc","Audio","Audio Match","Powers Like Kenny","UGC","Sound Recording","Milkman","Fragments","TCABD1229271","MILKMAN",,,180,0,0
