INDMusic Channel Report
September 2014
9LILG

Partner Views are: 2765397
Non-Ad Requested Views: 26405
Partner Revenue is: 5511.239074999999
Partner Ad Enabled Views are: 2738992
Partner Thousands of Ad Enabled Views: 2738.992
CPM: 2.0121413552869076
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 551.1239074999999
Total Partner Earnings: 4960.115167499998

UGC Views are: 2014478
UGC Revenue is: 1632.0679429999989
UGC Ad Enabled Views are: 1599385
UGC Thousands of Ad Enabled Views: 1599.385
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 163.2067942999999
Total UGC Earnings: 1468.861148699999

Total Channel Partner Payout: 6428.976316199997

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"-h3dtGzJrvI","Audio","Audio Match","Out to Get Me (feat. RC & PJ The Gator)","UGC",,"King Lil G","King Enemy","USASN1201241","9LILG",,,207,207,0.010216
"-htgiwxpS50","Audio","Audio Match","Do You Think of Me","UGC",,"King Lil G","Lost in Smoke","USASN1302111","9LILG",,,5,5,0.000109
"-htgiwxpS50","Audio","Audio Match","Do You Think of Me","UGC",,"King Lil G","Lost in Smoke","USASN1302111","9LILG",,,1,0,0
"-ibmMpoG_jY","Audio","Audio Match","Gods Looking for Me","UGC",,"King Lil G","Lost in Smoke","USASN1302117","9LILG",,,2,2,0
"-nrQxiqn4ag","Audio","Audio Match","Who Shot 2Pac","UGC",,"King Lil G","King Enemy","USASN1201239","9LILG",,,1,1,0
"-pRE38q43Hg","Audio","Audio Match","Love Kills Feat. Krypto","UGC",,"King Lil G","AK47Boyz","QMEBT1400811","9LILG",,,2,2,0
"-pRE38q43Hg","Audio","Audio Match","Love Kills Feat. Krypto","UGC",,"King Lil G","AK47Boyz","QMEBT1400811","9LILG",,,2,2,0
"-rEG2-3s5y4","Audio","Audio Match","Hopeless Boy Feat. David Ortiz","UGC",,"King Lil G","AK47Boyz","QMEBT1400801","9LILG",,,2,2,0
"-rJ_fsd3Mxc","Audio","Audio Match","Gunz in My Neighborhood","UGC",,"Lil G","Blue Devil Part 2","USASN1200417","9LILG",,,12,12,0.000304
"-sQrLKE8h88","Audio","Audio Match","Boom Boom Killa (feat. Baby Gunz)","UGC",,"King Lil G","King Enemy","USASN1201246","9LILG",,,49,49,0
"-uTPSGk6fnQ","Audio","Audio Match","That Dro","UGC",,"King Lil G","Lost in Smoke","USASN1302110","9LILG",,,73,73,0.098027
"-uTPSGk6fnQ","Audio","Audio Match","That Dro","UGC",,"King Lil G","Lost in Smoke","USASN1302110","9LILG",,,5,0,0
"-vFFunUz51E","Audio","Audio Match","Narco Corridos","UGC",,"King Lil G","King Enemy","USASN1201240","9LILG",,,460,460,0.093445
"-vFFunUz51E","Audio","Audio Match","Narco Corridos","UGC",,"King Lil G","King Enemy","USASN1201240","9LILG",,,1,0,0
