Asset ID,Identifier,Asset Type,Title,ISRCs,UPC,Custom ID,Labels,Time Created,Number of Claims,Approx Daily Views
A745574140023351,CMXTH7903896,Sound Recording,06.37_02 Counting Lite.mp3 - CML,CMXTH7903896,Chicago Music Library,,,Sat Dec 20 15:58:40 PST 2014,9,3
A465442967429498,BPXTH7913850,Sound Recording,sharif_11729 - sharif,BPXTH7913850,BeatPick,,,Fri Dec 12 09:48:12 PST 2014,7,2
A920841420674427,BPXTH7909399,Sound Recording,agfa_18278 - agfa,BPXTH7909399,BeatPick,,,Fri Dec 12 11:22:59 PST 2014,24,10
A800707172386645,,Sound Recording,Bobby Orr (Instrumental) - Dave Stanley Band,,,,,Mon Dec 15 08:20:09 PST 2014,5,8
A126899035156124,BPXTH7910442,Sound Recording,crystalkovach_11914 - crystalkovach,BPXTH7910442,BeatPick,,,Fri Dec 12 12:51:12 PST 2014,6,1
A977558387838494,,Sound Recording,Shaman - Baba Brinkman,,,,,Mon Dec 15 07:04:24 PST 2014,3,1
A872665483566723,MRXTH7917072,Sound Recording,Pravda 546815 So...Goodbye - Pravda,MRXTH7917072,Audio Masters,,,Fri Dec 19 23:20:10 PST 2014,0,0
A947335960429222,,Sound Recording,Mute Harmony (instrumental) - In The Nursery,,,,,Tue Dec 16 07:47:28 PST 2014,29,7
A737956113002217,BPXTH7910146,Sound Recording,brianmackey_13173 - brianmackey,BPXTH7910146,BeatPick,,,Fri Dec 12 11:23:09 PST 2014,64,50
A501999225378708,GBKPL1357881,Sound Recording,Kuulasmaa - Michael Neil,GBKPL1357881,5055489276229,,,Thu Jan 08 22:25:10 PST 2015,0,0
A725630902281612,US3220636037,Sound Recording,Round the Bend - Jerry Cortez,US3220636037,825188043065,,,Mon Dec 15 13:14:44 PST 2014,25,1
A706918272855520,BPXTH7909666,Sound Recording,anewascension_5615 - anewascension,BPXTH7909666,BeatPick,,,Fri Dec 12 13:07:19 PST 2014,26,7
A826361513691495,GBKPL1256434,Sound Recording,Night Flyght - Monodeluxe,GBKPL1256434,5055489229737,,,Sat Jan 10 09:32:40 PST 2015,1,0
A206088032875806,BPXTH7910140,Sound Recording,brianmackey_13167 - brianmackey,BPXTH7910140,BeatPick,,,Fri Dec 12 10:14:59 PST 2014,66,20
A906741324394732,QMPF21200009,Sound Recording,Low Down Shadow - Amy Guess,QMPF21200009,741459675622,,,Mon Dec 15 08:33:16 PST 2014,4,3
A160383850452077,BPXTH7912857,Sound Recording,myself_15499 - myself,BPXTH7912857,BeatPick,,,Fri Dec 12 10:10:19 PST 2014,20,3
A470351292122394,BPXTH7912839,Sound Recording,myself_15481 - myself,BPXTH7912839,BeatPick,,,Fri Dec 12 10:14:28 PST 2014,0,0
A455344167839510,MRXTH7917064,Sound Recording,Pravda 546806 Today Is The Day - Pravda,MRXTH7917064,Audio Masters,,,Fri Dec 19 23:19:27 PST 2014,0,0
A742265082409048,BPXTH7907532,Sound Recording,Audyssey_14397 - Audyssey,BPXTH7907532,BeatPick,,,Fri Dec 12 10:29:48 PST 2014,2,0
