INDMusic Channel Report
July 2014
Edon

Partner Views are: 6110
Non-Ad Requested Views: 5355
Partner Revenue is: 0.005727
Partner Ad Enabled Views are: 755
Partner Thousands of Ad Enabled Views: 0.755
CPM: 0.007585430463576159
INDMusic Percentage: 0.1
Partner InDMusic Fee is: 0.0005727000000000001
Total Partner Earnings: 0.0051543000000000005

UGC Views are: 0
UGC Revenue is: 0
UGC Ad Enabled Views are: 0
UGC Thousands of Ad Enabled Views: 0
INDMusic Percentags: 0.1
UGC InDMusic Fee is: 0
Total UGC Earnings: 0

Total Channel Partner Payout: 0.0051543000000000005

videoId,claimType,claimOrigin,assetTitle,contentType,assetType,artist,album,isrc,customId,writer,channel,tViews,adViews,tEarnings
"Bje7pvPXoeA","Audio-Visual","Web Upload","Edon NovoRemix","PARTNER-PROVIDED",,"","","","Edon",,,485,0,0
"Bje7pvPXoeA","Audio-Visual","Web Upload","Edon NovoRemix","PARTNER-PROVIDED",,"","","","Edon",,,485,0,0
"HjYZDYSTcmg","Audio-Visual","Web Upload","edon final video","PARTNER-PROVIDED",,"","","","Edon",,,2186,0,0
"NeumhgEXh1k","Audio-Visual","Web Upload","Edon - ""8 Days"" [TEASER VIDEO]","PARTNER-PROVIDED",,"","","","Edon",,,4,0,0
"SBB50hTNkO8","Audio-Visual","Web Upload","Edon on Steve Harvey Show 2012","PARTNER-PROVIDED",,"","","","Edon",,,340,340,0.0026545
"SBB50hTNkO8","Audio-Visual","Web Upload","Edon on Steve Harvey Show 2012","PARTNER-PROVIDED",,"","","","Edon",,,9,0,0
"HjYZDYSTcmg","Audio-Visual","Web Upload","edon final video","PARTNER-PROVIDED",,"","","","Edon",,,2186,0,0
"NeumhgEXh1k","Audio-Visual","Web Upload","Edon - ""8 Days"" [TEASER VIDEO]","PARTNER-PROVIDED",,"","","","Edon",,,75,75,0.000418
"SBB50hTNkO8","Audio-Visual","Web Upload","Edon on Steve Harvey Show 2012","PARTNER-PROVIDED",,"","","","Edon",,,340,340,0.0026545
